Bit-0,Bit-1,Bit-2,Bit-3,Bit-4,Bit-5,Bit-6,Bit-7,Bit-8,Bit-9
2.356348933818666266e-02,-2.660253517671428303e-03,-2.248428720402282643e-01,-2.342243109262447665e-01,2.115348623464857469e-01,-2.096150608801476134e-01,2.432444997223059957e-01,2.018336704898158473e-01,-2.188166377546035546e-01,-9.783211278853625945e-03
-1.714735888151063675e-02,1.207710924661375756e-03,-2.349224603848095727e-01,-2.440852140442642537e-01,2.177750422443070766e-01,-2.108432025003379173e-01,2.391641317102008724e-01,2.187205595944106129e-01,-2.414912476426542831e-01,-5.900804488642079002e-03
9.489053978699191899e-03,-1.548446887194612070e-02,-2.264268304295176670e-01,-2.289143793280762895e-01,2.159113562735068270e-01,-1.908760460793959002e-01,2.323076651751344035e-01,1.992236176492359345e-01,2.442561287651824620e-01,-1.280333117615712994e-02
-1.139495924857102625e-02,-3.200863074182316945e-03,-2.388071187273679841e-01,-2.168840711854411740e-01,2.115548817075333377e-01,-2.128816161519152261e-01,2.248742316102468886e-01,2.131390706896817422e-01,2.354762266248718872e-01,-1.653640184754289269e-02
-4.139244143816484152e-03,1.018885132923139959e-02,-2.348004503533281384e-01,-2.341101549356373601e-01,2.207767845304791920e-01,1.941539249288156965e-01,-2.282005955700293076e-01,-2.104386559624186470e-01,-2.367729628928692542e-01,-7.159686664890856957e-03
-7.756575165655811913e-03,-5.254170813358335392e-03,-2.378811073148743294e-01,-2.513794531687945644e-01,2.096266588436614398e-01,2.192110574348639096e-01,-2.377012900698427522e-01,-2.126281541807909514e-01,-2.282058993932789825e-01,1.011346016076377502e-02
-8.251478186488477029e-03,9.249920827991973613e-03,-2.257960139755283979e-01,-2.271769141030791084e-01,2.158260048166407707e-01,2.121502571305836082e-01,-2.334321952539410994e-01,-2.148218496729208948e-01,2.292801900837106999e-01,-5.584323893719066179e-03
-1.950133423766592378e-02,7.533767483470480038e-03,-2.308285318679265397e-01,-2.425494674365455405e-01,2.070497825947974491e-01,2.133340411967226680e-01,-2.415851375643141286e-01,-2.156456402394726080e-01,2.499846273430069155e-01,6.094048481390819047e-03
4.254435128587684758e-03,-2.577013862576321094e-03,-2.433344654985412359e-01,-2.185998419302780382e-01,2.188024403769313064e-01,2.122704159754359443e-01,-2.429746786353721433e-01,2.067021945026489005e-01,-2.328103454298676156e-01,-9.450462791843219218e-03
-1.383580737771347886e-02,-4.166136639677265122e-03,-2.293797969230913225e-01,-2.404847889515994985e-01,2.123407811771619302e-01,2.071676696516112914e-01,-2.353561322618821783e-01,2.125319444474697284e-01,-2.493325312511683878e-01,2.785490211698470660e-03
4.790764742333508339e-03,-4.749782667994835797e-03,-2.203986317487693081e-01,-2.280835912736788040e-01,2.057473744226843704e-01,2.212223038307664369e-01,-2.345348578489325764e-01,1.975543049167437504e-01,2.381222820514414251e-01,1.168707775245358613e-02
1.579094722167615058e-03,-1.580062156983150137e-03,-2.251465124005032070e-01,-2.286148830774498431e-01,2.093899908487394101e-01,2.077933267654835936e-01,-2.136745824833424512e-01,2.144675447189209605e-01,2.394197185459660260e-01,-2.078395789699104528e-03
1.822078279861377367e-02,7.028499856446464647e-03,-2.424752635520394384e-01,-2.578542905349167635e-01,2.095169546782770786e-01,2.240385523447979976e-01,2.455413785743975896e-01,-2.091218243104386310e-01,-2.356931241578320291e-01,2.276617032807661412e-03
-2.897831065236748313e-03,-3.040626296840434877e-03,-2.483551647011371655e-01,-2.517021932407647600e-01,2.048987044893614828e-01,1.992104530883190283e-01,2.430386278264458078e-01,-1.968968703173692991e-01,-2.334899973839071052e-01,1.202729036074762746e-02
6.064592561824747909e-03,-5.562372055688678818e-03,-2.274649665544857813e-01,-2.304936036395855703e-01,2.118314141124622019e-01,2.043879873202518460e-01,2.243304818686315261e-01,-1.955344976351453545e-01,2.379970673518204682e-01,6.694118082243543343e-03
-5.585419563939601122e-05,-1.511169556423939617e-02,-2.424105000225539874e-01,-2.317913996490897077e-01,2.235431191301809062e-01,2.034861156232349033e-01,2.264497151402029285e-01,-2.039021536264212786e-01,2.452666951186054656e-01,-8.354941233111945822e-03
8.984045093800307330e-03,4.326158097644564396e-03,-2.286807080051360686e-01,-2.351563971430051248e-01,2.032182857020750355e-01,2.152453010269677336e-01,2.362511151927564335e-01,2.130850869996665509e-01,-2.215212685149938743e-01,8.301030715259864181e-04
-8.392510348661751107e-03,-1.505878415994592497e-02,-2.194091161034532333e-01,-2.257888326697495007e-01,2.053551786625521236e-01,2.086043535901677681e-01,2.307117516351644693e-01,2.147060309597428884e-01,-2.241055152290069019e-01,1.254638239431232934e-02
-1.077509809845078083e-02,-1.857869486650426394e-02,-2.371585759715426345e-01,-2.482558531057752760e-01,1.965988654735344454e-01,2.031956627807180449e-01,2.324414778485426047e-01,1.916373105010092115e-01,2.305966898350689520e-01,7.960498876871948629e-04
8.217766892940899653e-03,8.329619112794169750e-03,-2.292714052289382964e-01,-2.279756984711427958e-01,2.027624217482290603e-01,2.101605140050036846e-01,2.254695455408048388e-01,2.078291686401884386e-01,2.404877491943849255e-01,-2.882675114836091498e-03
-3.589736612261159362e-03,-1.118158937182068061e-02,-2.600414356834761520e-01,2.595416783384653647e-01,-2.185459450930772318e-01,-2.246978536694475559e-01,-2.556183532657368973e-01,-2.179470649037918706e-01,-2.468331511175251847e-01,-3.750087576357022043e-03
2.232976762326676842e-03,-7.672924954243127461e-03,-2.434222858782550958e-01,2.649118214532176774e-01,-2.078630316638166442e-01,-2.150964156792435911e-01,-2.553417764763405429e-01,-2.067337740185945794e-01,-2.415217948217579791e-01,1.668747118786084423e-03
4.364048664764888681e-03,-2.086756038428694195e-03,-2.343406332538054693e-01,2.575000761556980322e-01,-1.991857392504611246e-01,-2.107641802921736141e-01,-2.369677716961238467e-01,-2.019214488970083321e-01,2.444172631276116947e-01,3.973852764759694747e-03
8.214887241758006987e-04,-5.026389239119541906e-03,-2.388971467158412521e-01,2.358186199293071938e-01,-2.049545264613537865e-01,-2.165067580139171666e-01,-2.419203291015486756e-01,-2.169995853195011426e-01,2.304761008500153530e-01,6.923709571846817408e-03
1.430420966939141732e-02,6.594869991219279130e-04,-2.385512365699583581e-01,2.708748809534731183e-01,-1.959381555156914645e-01,-1.918653994679279107e-01,-2.536777860733336332e-01,2.029297844220607772e-01,-2.368378745829404775e-01,5.183544348126309896e-03
-2.276205148784572231e-03,-1.623128603609318849e-02,-2.403186703792828116e-01,2.521878315678369176e-01,-2.140472020647341822e-01,-2.262113114368190236e-01,-2.502292810105247733e-01,2.291594474710846874e-01,-2.266468672602648948e-01,-7.798182854338296145e-03
8.096605114286807223e-03,8.769199497620281877e-03,-2.292008352657299020e-01,2.398695852249233262e-01,-2.128464056876789579e-01,-2.093511247658406960e-01,-2.356378875612535340e-01,1.966366996519131327e-01,2.540813758894391872e-01,6.461499842212564118e-04
-3.596931088708831773e-03,4.761125849363878441e-03,-2.300003734806912170e-01,2.451249153761876354e-01,-1.985108555973456590e-01,-2.048841206016198957e-01,-2.236845221371918657e-01,2.152243589933333368e-01,2.331349662761675878e-01,5.687505233755984872e-03
-4.923387820492541520e-03,-8.376328333634504297e-03,-2.437686130426464926e-01,2.627440221982594859e-01,-2.133978640396031745e-01,-2.030339748333424010e-01,2.543856012077384543e-01,-2.048814124712384777e-01,-2.500514874456378211e-01,5.505352770419591653e-03
1.867130585623336331e-03,-2.836326887262736822e-04,-2.433194944589333886e-01,2.478845042321613790e-01,-1.947642330872846050e-01,-2.149889622253023103e-01,2.506105738138448280e-01,-1.933781504773101900e-01,-2.475542674803648535e-01,7.358555189824573725e-03
7.533553981965180300e-03,-4.155095821345580233e-03,-2.366172557225315887e-01,2.311988697913443525e-01,-1.766194328448531803e-01,-1.938855841620776843e-01,2.457247088988975814e-01,-1.899445236047496433e-01,2.095651513381389663e-01,-3.307882358161028449e-03
1.316158827317676777e-02,-9.765005826492340057e-03,-2.374219352781408721e-01,2.348611655767238182e-01,-1.922202374678459447e-01,-2.004031749161974962e-01,2.336063007575579220e-01,-1.961456448688446985e-01,2.356323172267998367e-01,-9.631572738808408252e-03
1.107320795191817434e-02,5.756487111332341151e-03,-2.212774507475162022e-01,2.322013285442517116e-01,-2.116933893398041111e-01,-2.006122344696898152e-01,2.422487771785984678e-01,2.046217919289465836e-01,-2.306059202410043474e-01,7.718303898816520486e-03
2.652448497928129242e-03,-8.263389777510914483e-03,-2.225003735794356396e-01,2.427321367205826086e-01,-1.894636424725702206e-01,-2.076904809026645926e-01,2.517524623055320543e-01,2.011072258448684258e-01,-2.393725074844373635e-01,1.202476807707450685e-03
1.184764427685420021e-02,1.772958277493439511e-03,-2.240385042017348505e-01,2.423863003529278526e-01,-2.027850135570241630e-01,-1.922071606708428970e-01,2.447610918509618705e-01,2.022293012128454082e-01,2.244989597662342407e-01,8.423386854600393644e-03
6.824354277664515869e-03,-9.362064258545197207e-03,-2.224879895246364703e-01,2.259041828000525054e-01,-2.128594029646718178e-01,-2.172410969098718114e-01,2.402951841121079291e-01,2.123137903017061068e-01,2.262227647639682981e-01,-1.076015260404275531e-02
-2.829237238981127927e-03,3.635725638413282116e-03,-2.372495252545057665e-01,2.490139826240708176e-01,-2.048760802548747484e-01,2.114021585809904291e-01,-2.558761044846767918e-01,-2.077779328588637564e-01,-2.552994245958137842e-01,3.152074677315797567e-03
4.618502470173408044e-03,-2.515513084185858755e-02,-2.401902003248753414e-01,2.521521487554083119e-01,-2.152093925415801690e-01,2.064363435606534625e-01,-2.493000179471862032e-01,-2.054959926193947461e-01,-2.404496646650091940e-01,-1.165816122416548977e-03
9.876788754863818215e-03,5.774816293469824287e-03,-2.520295445550644886e-01,2.423703134508456147e-01,-2.064629631561951395e-01,2.011490692059517971e-01,-2.389685598878498185e-01,-2.057357644881521730e-01,2.509346018083638552e-01,-2.067555689071239045e-02
-3.048439591791468568e-05,-2.519785378831178530e-04,-2.275818692026637391e-01,2.246090239657385634e-01,-1.945950791385318290e-01,2.089489445044509508e-01,-2.314494848619527978e-01,-1.936799844489769384e-01,2.222031257077162758e-01,3.486229715364451247e-03
4.744595531492690893e-03,-9.046674179274417351e-04,-2.235916348414787591e-01,2.387894673095735665e-01,-2.018154140767718097e-01,2.115377103620396659e-01,-2.310944642253293657e-01,2.036869808257965597e-01,-2.268752878705363185e-01,1.148260747940404308e-02
9.784222296607194072e-03,3.752957640612550327e-03,-2.386569463241060007e-01,2.378814152543948512e-01,-2.057818325391597425e-01,2.193140265518281062e-01,-2.369435018888522149e-01,2.190755776883490380e-01,-2.248493997574926850e-01,-2.096472324548091792e-02
