Bit 1,Bit 2,Bit 3,Bit 4,Bit 5,Bit 6,Bit 7,Bit 8,Bit 9,Bit 10
5.128331867933871163e-02,1.320908481683344751e-02,-1.446138782092303531e-02,-8.208478842770112333e-03,-1.132072569669406899e-02,-2.511750200779799130e-02,1.564849037428861847e-02,4.390564561030107366e-03,1.430265747956098281e-02,5.183638332724277431e-02
3.844042020215480970e-02,2.133881531680131144e-02,-1.049169386144699692e-02,-6.041447284898649080e-03,-9.589776715899367074e-03,-3.591542619040170858e-02,1.796137241293601500e-02,2.390163992763472828e-02,2.243228800244365453e-02,-6.223547810897088473e-02
2.783229385450677190e-02,3.598263036993049058e-02,2.011788543623529643e-02,-1.690345822051618485e-02,-1.785450922285795536e-02,-3.242908044238657778e-02,1.801718356002747143e-02,1.568282919314947788e-02,-5.481849100964730943e-03,4.889179510465131023e-02
4.514255754234510615e-02,1.106752010643446971e-02,-2.964346509529504001e-02,3.037352938687587836e-03,-9.872814783831512439e-03,-1.804388895501198367e-02,-1.425434830361429952e-03,-2.282108999772484124e-03,-1.093870977551080620e-02,-7.575806065669531131e-02
5.817340204835803885e-02,-6.514245565855645431e-03,-1.129174454434253398e-03,-7.524040019552875012e-03,1.322035075874045985e-02,-3.354119354486030657e-02,1.736480982567588024e-02,-1.577975409923512706e-02,-7.189163096119629767e-03,6.896682256699857017e-02
6.187146561184844046e-02,4.381451332314011821e-02,-1.157232002207552422e-02,9.868469743458329127e-03,4.146842368857039073e-03,-3.172639309477005148e-02,3.997506420564914814e-02,-8.794509218939655301e-03,1.758962996086169128e-02,-5.292954188700981638e-02
4.933268126584709062e-02,5.118160085219376765e-02,-3.386397731875644048e-03,-1.837163318710472587e-02,-2.415485057269029130e-03,-2.261626953068887266e-02,3.805515659752806146e-02,-1.873366331094382040e-02,-2.162561104152041849e-02,5.786520925442503044e-02
4.528096711487989562e-02,2.992330520444659234e-02,-1.244678664794712092e-02,1.160254382617461819e-02,-2.146634036073340884e-02,-1.925159088151501621e-02,3.598075556129975289e-02,-2.768067203074182567e-02,-1.870146330731685055e-02,-5.354334019778144577e-02
4.428021286826971936e-02,4.045677183616733230e-02,-1.983585464595669090e-02,4.528005558327882069e-03,-7.674964897100483764e-06,2.878967979752097145e-02,-2.294710146340553369e-02,5.596391256633819269e-03,9.459120393801593446e-03,7.932308419803653365e-02
9.132488402937109784e-02,2.039000901501892074e-02,1.260952720296920626e-02,-4.799474924900458926e-03,-6.258228497183115219e-03,-7.821455224083443802e-04,-4.724750834139892358e-02,2.134013623646473234e-02,-1.831284389256112883e-03,-6.824955258467393926e-02
4.169080738049156520e-02,3.619180408885814410e-02,-4.630507230761084572e-03,-7.191766332406457005e-03,1.188124347521724326e-03,3.341926950033752980e-02,-1.058570162334077254e-02,1.581722355209565570e-02,-2.195408528904422077e-02,7.561436628616099997e-02
6.944616013880218486e-02,1.006391209949187432e-02,8.349523824538811981e-04,3.886996363106229530e-04,-1.918833081656301509e-02,-8.448768480488115171e-03,-2.593136995803704131e-02,1.831072399256865671e-02,-1.680705214214398002e-02,-5.256729977136801596e-02
7.370362268836495867e-02,2.485719020387205588e-02,-2.017580833133313448e-02,-2.711062991885185638e-02,-2.694155695708911474e-02,4.042148073960143834e-02,-1.084932156328577077e-02,-4.355468995252320154e-03,1.493945573333683042e-03,7.814527917712543736e-02
6.932262148216784825e-02,3.201859944036709177e-02,-5.954773200450532052e-03,-1.024975995376636168e-02,-1.221721068719862878e-02,2.858907623087380417e-02,1.607018323049250533e-03,-2.122445643433183704e-02,1.532496844198288390e-02,-7.451168742714059379e-02
5.723255777053858073e-02,2.329000161984525960e-02,-2.112694463904678938e-02,1.498823180553854892e-03,-7.753381971105576323e-03,2.477035402618399731e-02,-1.392377937569713384e-02,6.221728587070716847e-03,-1.331326211532210188e-02,7.021519432450365472e-02
4.266399062746137338e-02,1.309965062411962144e-02,-1.385316805007888452e-02,3.415349171079942021e-04,-1.728996224001316459e-02,2.502238066089333343e-02,-3.912872002971801849e-02,2.319214125315883709e-02,-1.568383846339750523e-04,-7.577944721198497102e-02
3.487983513906713073e-02,3.488125605704903154e-02,6.636284550117118632e-03,-1.342842217440209235e-02,-6.824403534800745942e-03,-4.856787052641413360e-03,3.845542755410057134e-02,1.373391977573100095e-02,-3.640911632367205622e-03,7.037376594501060234e-02
4.478519001969620550e-02,-1.139486019180508411e-03,2.755197386407162718e-02,-2.495567028181257599e-02,-1.807720953930637420e-02,3.850559154063978948e-03,9.355564628706689381e-03,-1.180464430943003323e-02,1.932700495986500178e-02,-6.661958321004221584e-02
5.738347918022877053e-02,4.347295051317539780e-03,-1.292670336039807542e-02,-1.848872570410298177e-02,-1.240586710814862818e-02,3.865894827586652954e-02,4.613354609863316858e-02,1.760346506040868023e-02,-1.869800475218331634e-02,7.369809267941497544e-02
3.424163923909123025e-02,2.057600695752886261e-02,7.621836069603604019e-03,-8.863127603667725340e-03,-7.893042441502631616e-04,1.232720560863904101e-02,3.644032454354902834e-02,7.028722457880704974e-03,-1.888361193435386665e-02,-5.929547091707088741e-02
1.371049219431687803e-02,1.584432435416778875e-02,5.968239072030250003e-03,-2.336021871521376525e-03,5.990276099916889974e-03,3.340286314804604556e-02,2.273357850946309405e-02,-9.139389094016257820e-03,2.359809504461971713e-02,6.136676785331215966e-02
5.132676361564616346e-02,1.352441214451631860e-02,-1.877784859045017463e-02,3.822136600067453475e-03,-1.296619441308134724e-02,-1.064010925929097760e-02,-1.017361020395790745e-02,4.852760519143300630e-03,-4.391238663965695357e-03,-6.903104136441978733e-02
5.899095232480358608e-02,1.758141760014990743e-02,-1.694800125318456085e-02,6.314522437534881086e-03,-8.619372043151071403e-03,8.513610346314723007e-03,6.287379116200453831e-03,2.098843079829852687e-02,2.407449139388398267e-03,5.882973214598774536e-02
5.420261153230538503e-02,2.079099779279997354e-02,-1.574065536570374776e-02,4.316360726948434597e-03,-1.561393332835395512e-02,8.840914248951056015e-03,1.819082369327265289e-02,-2.807903398547620041e-02,-1.578015083741536595e-02,-7.621576729303461417e-02
4.196955038607476374e-02,3.689003783117693336e-02,-1.403288580301675133e-03,5.644292868082437936e-04,1.838223539908380097e-02,-1.803317449108424175e-02,-1.558013679392865683e-02,4.498904431808046361e-02,1.674612268324213171e-02,7.663148813779326052e-02
5.838667507883951030e-02,1.872794915891903833e-02,-1.591041152924411659e-02,2.338344099570353538e-02,-1.976601752140583201e-02,-4.915241515030172904e-03,-6.327405606870143903e-03,-6.366469477405042182e-03,3.293619708879871183e-02,-6.649190352407480242e-02
5.334976465344897639e-02,1.401072697972963882e-02,-1.105005034481368852e-02,-7.460404565429678246e-03,1.129408224744129271e-03,-3.556970179280873577e-03,-3.078700378324114584e-02,3.003371193500447775e-02,-1.095968676763497789e-02,8.062281600019469141e-02
